sigma1,sigma2,mu1,mu2,logit_p
0.941485604,0.210110913,8.333493911,10.1370605,-3.014245067
0.859969346,0.203826082,7.848560474,10.13145258,-2.61978013
0.788352995,0.218606518,8.138067735,10.13742253,-3.192751187
1.005936782,0.212996552,7.913042869,10.13024995,-2.944036099
0.65638358,0.22081167,8.217471631,10.13569271,-2.840906364
0.759349822,0.221662571,7.875313087,10.14099832,-2.804956272
0.831641413,0.217445345,7.992445427,10.13824792,-3.023644333
0.971010377,0.216433219,8.048363904,10.13506821,-3.171903043
0.890005697,0.207063378,8.031485316,10.13345117,-2.652271292
0.759804484,0.216830446,8.255639225,10.1387339,-2.751760118
0.742345285,0.218084027,7.878651377,10.12098902,-3.217516302
0.779474482,0.20876868,8.178127406,10.12895054,-2.852637788
0.802768177,0.210168985,8.244289852,10.11735865,-2.896375546
1.011347064,0.21355704,8.269365442,10.12824003,-3.425178192
1.138430205,0.207172183,7.899144885,10.13086819,-2.829104767
0.673679218,0.222081699,8.186605168,10.13606489,-3.235418644
0.966211443,0.215004102,7.73181496,10.14595387,-2.694048124
1.007462834,0.211044869,7.753268973,10.13270857,-2.301102431
1.70737139,0.215223962,7.70763389,10.14099106,-2.731123478
0.668869404,0.216950235,8.169626693,10.12372926,-2.933355292
0.926233154,0.226394664,7.695835025,10.14445377,-2.937161643
0.969467493,0.217370511,7.681497578,10.13077126,-2.92824581
0.618013423,0.205801359,8.223765386,10.13292124,-3.079001714
0.925379729,0.209104165,8.0474373,10.12192072,-3.121748829
1.906324431,0.201508668,9.276393754,10.12014449,-2.304487659
0.996341505,0.208504707,7.856218277,10.13221179,-2.864069802
1.004781694,0.201166022,8.052404132,10.12802292,-2.547483294
0.904503246,0.210733861,7.955809305,10.13826235,-2.646280248
0.916815807,0.204314537,8.142102624,10.13525574,-2.657682855
1.109609335,0.222382874,7.980762133,10.13820874,-2.761004973
0.980365655,0.215042673,7.811049329,10.13573527,-3.199068359
0.636781434,0.206260056,8.19693675,10.13205424,-2.988959411
0.82365897,0.204432082,8.164676599,10.13894275,-2.976274106
0.612873186,0.217473707,8.261744966,10.13964804,-3.136753237
0.872312569,0.205162272,8.016054894,10.1248486,-2.554191494
1.159826005,0.209775125,8.018576147,10.12200309,-2.899238502
1.038279424,0.216172336,7.816994382,10.1365821,-2.805074114
1.022901196,0.210083969,8.092716157,10.12728463,-3.005476811
1.607915921,0.207822845,8.015657442,10.13168451,-2.613252531
0.650696331,0.210727651,8.184224624,10.13173817,-3.020148994
0.891799148,0.211985109,7.979953104,10.12928271,-2.895353567
